#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2016-12-02 15:02::22.534

Frequency (Hz),Channel 1 Magnitude (dB)
50.000000000000043,-40.849577098549297
55.7095692097922,-38.384284156221248
62.071122030812482,-35.128019973126634
69.15910937409997,-31.102850738413089
77.056483803280145,-29.483392282468195
85.855670350041166,-26.847461973721312
95.659648188374362,-25.045299968322531
106.58315582669215,-22.587830189669429
118.75403392250327,-20.766909294472413
132.31472143495404,-18.585207061938501
147.42392262509878,-16.58887350611176
164.25846441323958,-14.541607656240457
183.01536583047104,-12.322964189269719
203.91414378376098,-10.085744232220449
227.19938211953868,-7.8119353385497137
253.14359405220893,-5.1762354630977523
282.05041145734111,-2.0132003449914224
314.2581383546617,2.1509790486769824
350.14371016818933,8.8477506585782226
390.12710509976267,10.630171293214117
434.67625924342167,3.7280942169431484
484.31254296349908,-1.0568822123392672
539.61686262790943,-4.2295588351182092
601.23645910680841,-6.9621056494810851
669.89248260122156,-9.5618488977061986
746.38843245184466,-11.59478892477104
831.61956070128588,-13.643860372655393
926.58334946210414,-15.83098067474088
1032.3911847100021,-17.909235010799534
1150.2813631236229,-20.032456389362011
1281.6335841933901,-21.663154092250679
1427.9850972043125,-24.535699022655862
1591.0486920651072,-26.721880314832202
1772.7327445350065,-27.268342554305725
1975.1635504427543,-30.451622658911454
2200.7102102809881,-31.813581792114466
2452.0123554068982,-31.909025012568915
2732.0110403361191,-34.780901661198087
3043.9831626704245,-39.574069322071416
3391.5798134845991,-36.44775079077283
3778.8690069970839,-46.783024737152694
4210.3832896008507,-44.886540219516746
4691.1727854354149,-55.265996384574677
5226.8642993061521,-39.133504201780951
5823.7271686477543,-49.552852423766431
6488.7466352145784,-47.535904503897427
7229.7055951858465,-45.941360700582628
8055.2756844285432,-48.474082806548324
8975.1187649125532,-51.693915698640652
10000,-48.247289830962281
